filename, execution_time, lat_max, lat_min, lon_max, lon_min, time_max, time_min
../data/xian_sample_1.csv,03/08/2019, 00:13:26,34.27678,34.21653,108.98842,108.92246,2016-10-01 23:13:11,2016-10-01 07:17:26
../data/xian_sample_2.csv,03/08/2019, 00:13:27,34.23308,34.21647,108.93969,108.9117,2016-10-02 05:52:25,2016-10-02 05:47:09
../data_full/xian/gps_20161002,03/08/2019, 00:19:22,34.28017,34.20531,108.9986,108.91119,2016-10-03 00:01:11,2016-10-02 00:01:01
../data_full/xian/gps_20161001,03/08/2019, 00:22:49,34.28022,34.20531,108.9986,108.91118,2016-10-02 00:01:10,2016-10-01 00:02:12
